epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.777,3.80336,7.19456,2.39463,0.09727,0.09577,0.044,0.0158,2.19891,2.84445,1.46542,0.00333049,0.00333049,0.00333049
2,1212.87,1.80002,2.55694,1.18617,0.13751,0.17305,0.07846,0.03627,1.7739,2.70888,1.22878,0.00653188,0.00653188,0.00653188
3,1799.61,1.65936,2.4216,1.12379,0.17257,0.25581,0.13468,0.06755,1.59526,2.35131,1.13771,0.00960127,0.00960127,0.00960127
4,2382.91,1.56697,2.28364,1.09207,0.30477,0.30695,0.25503,0.13587,1.4179,2.05775,1.07472,0.009406,0.009406,0.009406
5,2962.28,1.4937,2.02667,1.06653,0.36475,0.34622,0.32027,0.16655,1.46631,1.92739,1.08554,0.009208,0.009208,0.009208
6,3540.25,1.46064,1.78835,1.05343,0.26635,0.28882,0.21103,0.09124,2.00058,2.14766,1.26329,0.00901,0.00901,0.00901
7,4121.68,1.44075,1.59765,1.04657,0.66769,0.54579,0.63006,0.35275,1.3457,1.37356,1.04831,0.008812,0.008812,0.008812
8,4706.92,1.42346,1.47651,1.04009,0.77879,0.69979,0.79225,0.45035,1.32468,1.04339,1.04379,0.008614,0.008614,0.008614
9,5292.08,1.40971,1.37908,1.03537,0.80115,0.70397,0.80672,0.46295,1.3214,1.00695,1.04081,0.008416,0.008416,0.008416
10,5872.43,1.40106,1.30773,1.03203,0.83937,0.73063,0.83587,0.47711,1.30624,0.9655,1.03285,0.008218,0.008218,0.008218
11,6452.94,1.39639,1.24214,1.03105,0.86232,0.80079,0.88637,0.51305,1.29446,0.86666,1.03268,0.00802,0.00802,0.00802
12,7032.85,1.38917,1.19492,1.02951,0.85866,0.79405,0.88069,0.51295,1.29645,0.8736,1.03144,0.007822,0.007822,0.007822
13,7622.78,1.38065,1.16043,1.0257,0.89083,0.83841,0.91441,0.53832,1.27594,0.81365,1.02508,0.007624,0.007624,0.007624
14,8234.31,1.36851,1.12073,1.02329,0.90214,0.8639,0.93002,0.54845,1.28204,0.77377,1.02678,0.007426,0.007426,0.007426
15,8850.22,1.36614,1.0927,1.02098,0.91158,0.87707,0.93751,0.55897,1.26308,0.76332,1.02097,0.007228,0.007228,0.007228
16,9461.52,1.35803,1.0648,1.01709,0.91702,0.89142,0.94508,0.56468,1.25739,0.74168,1.01863,0.00703,0.00703,0.00703
17,10071.5,1.3551,1.03648,1.01706,0.92488,0.90292,0.95137,0.57329,1.2582,0.71484,1.01973,0.006832,0.006832,0.006832
18,10680.4,1.34885,1.01401,1.01618,0.92984,0.90884,0.95645,0.57846,1.25487,0.70349,1.01777,0.006634,0.006634,0.006634
19,11290.7,1.34366,0.98788,1.01311,0.9335,0.91748,0.95883,0.58194,1.24598,0.6904,1.01481,0.006436,0.006436,0.006436
20,11899.9,1.34049,0.97646,1.0122,0.93596,0.92178,0.96175,0.58516,1.24512,0.68436,1.01397,0.006238,0.006238,0.006238
21,12508.9,1.33776,0.96303,1.01191,0.94051,0.92992,0.96415,0.58902,1.23959,0.67604,1.01228,0.00604,0.00604,0.00604
22,13118.9,1.32894,0.94251,1.00846,0.94056,0.93119,0.96709,0.59178,1.23505,0.66798,1.01091,0.005842,0.005842,0.005842
23,13727.8,1.32428,0.9265,1.00758,0.94118,0.93619,0.96787,0.59437,1.23342,0.65939,1.01024,0.005644,0.005644,0.005644
24,14331.1,1.31832,0.90704,1.00548,0.94429,0.93701,0.96957,0.59711,1.23143,0.65062,1.00987,0.005446,0.005446,0.005446
25,14921.2,1.31312,0.89511,1.00403,0.94802,0.93817,0.97107,0.5997,1.22888,0.64552,1.0089,0.005248,0.005248,0.005248
26,15511.9,1.3102,0.88283,1.00361,0.95107,0.94061,0.97182,0.60212,1.22673,0.6394,1.00827,0.00505,0.00505,0.00505
27,16102,1.30604,0.86637,1.00276,0.95311,0.94282,0.97224,0.60427,1.22433,0.63378,1.00731,0.004852,0.004852,0.004852
28,16690.9,1.30219,0.85336,1.00149,0.95385,0.94649,0.97306,0.60506,1.22251,0.62913,1.00672,0.004654,0.004654,0.004654
29,17280.7,1.2964,0.84048,0.9988,0.9549,0.94736,0.97363,0.60643,1.22048,0.62394,1.00589,0.004456,0.004456,0.004456
30,17869.9,1.29457,0.83238,0.99856,0.95633,0.94683,0.97408,0.60796,1.21884,0.61964,1.00517,0.004258,0.004258,0.004258
31,18468.9,1.28998,0.82008,0.99688,0.95678,0.94967,0.97528,0.60944,1.21749,0.61575,1.0047,0.00406,0.00406,0.00406
32,19059.7,1.28291,0.80972,0.99579,0.95662,0.9508,0.97562,0.61075,1.2161,0.61243,1.0041,0.003862,0.003862,0.003862
33,19648.5,1.27982,0.79895,0.99506,0.95668,0.95227,0.97621,0.61184,1.21468,0.60866,1.00363,0.003664,0.003664,0.003664
34,20239.3,1.27218,0.78695,0.99148,0.95573,0.95338,0.97633,0.61317,1.21374,0.60481,1.00304,0.003466,0.003466,0.003466
35,20829.3,1.2713,0.77369,0.99311,0.95734,0.95421,0.97681,0.61362,1.21272,0.60106,1.00255,0.003268,0.003268,0.003268
36,21419.5,1.26062,0.75929,0.9892,0.95868,0.95457,0.97698,0.61437,1.21108,0.59684,1.00203,0.00307,0.00307,0.00307
37,22009,1.25841,0.74968,0.98878,0.96028,0.9556,0.97788,0.61553,1.20961,0.59309,1.00137,0.002872,0.002872,0.002872
38,22599.1,1.25538,0.74188,0.98778,0.96154,0.95603,0.97839,0.61687,1.208,0.58943,1.0007,0.002674,0.002674,0.002674
39,23195.4,1.24859,0.72967,0.98614,0.96191,0.95653,0.97889,0.61829,1.2064,0.58629,1.00007,0.002476,0.002476,0.002476
